date.time	NTU
43149.10427	0.052
43149.11471	0.081
43149.11472	0.066
43149.11473	0.089
43149.12504	0.096
43149.12506	0.089
43149.12507	0.089
43149.12508	0.081
43149.12509	0.066
43149.1251	0.074
43149.12511	0.074
43149.12512	0.066
43149.12515	15:12.8
43149.14587	0.081
43149.14589	0.074
43149.1459	0.089
43149.14591	0.052
43149.14592	0.074
43149.14593	0.081
43149.14595	0.052
43149.14596	0.052
43149.14597	0.066
43149.14598	0.089
43149.15629	0.089
43149.15631	0.089
43149.16673	0.066
43149.16675	0.074
43149.16676	0.074
43149.16677	0.081
43149.16678	0.074
43149.16679	0.066
43149.1668	0.052
43149.16681	0.059
43149.17712	0.074
43149.17714	0.081
43149.17715	0.052
43149.17716	0.089
43149.17717	0.074
43149.18761	0.059
43149.18762	0.081
43149.18764	0.111
43149.18765	0.074
43149.19796	0.067
43149.19797	0.096
43149.19798	0.044
43149.198	0.103
43149.19801	0.066
43149.19802	0.074
43149.19803	0.066
43149.19804	0.074
43149.20848	0.059
43149.21879	0.074
43149.21881	0.059
43149.21882	0.066
43149.21883	0.066
43149.21884	0.081
43149.21885	0.081
43149.21886	0.074
43149.21887	0.074
43149.21889	0.059
43149.2189	0.052
43149.22922	0.067
43149.23967	0.074
43149.23968	0.074
43149.2397	0.059
43149.23971	0.066
43149.23972	0.059
43149.23973	0.074
43149.25004	0.067
43149.25006	0.067
43149.25007	0.052
43149.25008	0.074
43149.25009	0.067
43149.2501	0.067
43149.25011	0.059
43149.25012	0.081
43149.25014	0.074
43149.25015	0.081
43149.26046	0.074
43149.26047	0.052
43149.26048	0.074
43149.2605	0.067
43149.26051	0.081
43149.26052	0.074
43149.26053	0.096
43149.26054	0.067
43149.26055	0.089
43149.26056	0.089
43149.27087	0.081
43149.27089	0.059
43149.2709	0.074
43149.27091	0.074
43149.27092	0.081
43149.27093	0.089
43149.27095	0.081
43149.27096	0.081
43149.27097	0.067
43149.27098	0.074
43149.28129	0.089
43149.28131	0.081
43149.28132	0.081
43149.28133	0.081
43149.28134	0.074
43149.28135	0.081
43149.28136	0.089
43149.28137	0.074
43149.28139	0.081
43149.2814	0.081
43149.29171	0.059
43149.29172	0.059
43149.29173	0.089
43149.29175	0.067
43149.29176	0.059
43149.29177	0.067
43149.29178	0.081
43149.29179	0.089
43149.2918	0.089
43149.29181	0.067
43149.30212	0.081
43149.30214	0.074
43149.30215	0.081
43149.30216	0.067
43149.30217	0.096
43149.30219	0.096
43149.3022	0.067
43149.30221	0.074
43149.30222	0.081
43149.30223	0.074
43149.31254	0.074
43149.31256	0.059
43149.31257	0.067
43149.31258	0.052
43149.31259	0.081
43149.3126	0.081
43149.31261	0.074
43149.31262	0.074
43149.31264	0.066
43149.31265	0.089
43149.32296	0.096
43149.32297	0.074
43149.32298	0.074
43149.323	0.052
43149.32301	0.103
43149.32302	0.089
43149.32303	0.066
43149.32304	0.066
43149.32305	0.066
43149.32306	0.066
43149.33337	0.067
43149.33339	0.081
43149.3334	0.074
43149.33341	0.059
43149.33342	0.052
43149.33343	0.066
43149.33345	0.074
43149.33346	0.089
43149.33347	0.066
43149.33348	0.066
43149.34379	0.066
43149.34381	0.066
43149.34382	0.089
43149.34383	0.066
43149.34384	0.074
43149.34385	0.066
43149.34386	0.074
43149.34387	0.066
43149.34389	0.059
43149.3439	0.066
43149.35421	0.081
43149.35422	0.074
43149.35423	0.052
43149.35425	0.074
43149.35426	0.103
43149.35427	0.052
43149.35428	0.066
43149.35429	0.089
43149.3543	0.089
43149.35431	0.074
43149.36462	0.081
43149.36464	0.096
43149.36465	0.066
43149.36466	0.066
43149.36467	0.052
43149.36469	0.089
43149.3647	0.089
43149.36471	0.059
43149.36472	0.052
43149.36473	0.066
43149.37504	0.066
43149.37506	0.081
43149.37507	0.066
43149.37508	0.103
43149.37509	0.081
43149.3751	0.052
43149.37511	0.089
43149.37512	0.089
43149.37514	0.081
43149.37515	0.059
43149.38546	0.074
43149.38547	0.059
43149.38548	0.074
43149.3855	0.081
43149.38551	0.059
43149.38552	0.066
43149.38553	0.074
43149.38554	0.052
43149.38555	0.081
43149.38556	0.059
43149.39587	0.059
43149.39589	0.081
43149.3959	0.081
43149.39591	0.059
43149.39592	0.059
43149.39594	0.066
43149.39595	0.074
43149.39596	0.066
43149.39597	0.081
43149.39598	0.081
43149.40629	0.052
43149.40631	0.081
43149.40632	0.088
43149.40633	0.066
43149.40634	0.074
43149.40635	0.066
43149.40636	0.081
43149.40637	0.074
43149.40639	0.074
43149.4064	0.074
43149.41671	0.066
43149.41672	0.081
43149.41673	0.074
43149.41675	0.066
43149.41676	0.081
43149.41677	0.081
43149.41678	0.074
43149.41679	0.103
43149.4168	0.066
43149.41681	0.074
43149.42712	0.059
43149.42714	0.074
43149.42715	0.059
43149.42716	0.059
43149.42717	0.059
43149.42719	0.066
43149.4272	0.074
43149.42721	0.074
43149.42722	0.096
43149.42723	0.074
43149.43754	0.066
43149.43756	0.081
43149.43757	0.059
43149.43758	0.074
43149.43759	0.059
43149.4376	0.081
43149.43761	0.066
